"Which of these is not a characteristic of fitness?<br><br>a) Fitness is environment-specific.<br>b) Fitness is species-specific.<br>c) Higher reproductive rate means higher fitness.<br>d) Fitness should be measured across several generations.";"Higher reproductive rate means higher fitness.";"week01"
"Who amongst these is considered the father of Biogeography?<br><br>a) Theophrastus<br>b) Linnaeus<br>c) Malthus<br>d) Humboldt";"Humboldt";"week01"
"In the Greek word root of Ecology, Oikos refers to<br><br>a) household<br>b) preservation<br>c) environment<br>d) study";"household";"week01"
"In the Greek word root of Ecology, logos refers to<br><br>a) household<br>b) preservation<br>c) environment<br>d) study";"study";"week01"
"Which of these is not a step in natural selection?<br><br>a) variation<br>b) underpopulation<br>c) struggle for existence<br>d) survival of the fittest";"underpopulation";"week01"
"Ecology is the scientific study of                      that determine the distribution and abundance of organisms. (Fill in the blanks)<br><br>a) statics<br>b) interactions<br>c) dynamics<br>d) habitat";"interactions";"week01"
"Which of these is not a characteristic of fitness?<br><br>a) Fitness is environment-specific.<br>b) Fitness is species-specific.<br>c) Fitness works on traits such as size and speed.<br>d) Fitness should be measured across several generations.";"Fitness works on traits such as size and speed.";"week01"
"Ecology is the scientific study of interactions among organisms and their                  . (Fill in the blanks)<br><br>a) habitat<br>b) niche<br>c) environment<br>d) population";"environment";"week01"
"""Enquiry into plants"" is a book written by<br><br>a) Theophrastus<br>b) Linnaeus<br>c) Malthus<br>d) Humboldt";"Theophrastus";"week01"
"Which of these is not a kind of selection<br><br>a) directional<br>b) stochastic<br>c) disruptive<br>d) stabilising";"stochastic";"week01"
"Hierarchy emerges almost inevitably through a wide variety of evolutionary processes, for thesimple reason that hierarchical structures are..........<br><br>a) perfect<br>b) imperfect<br>c) stable<br>d) unstable";"stable";"week02"
"The hierarchical system was given by<br><br>a) Simon<br>b) Watson<br>c) Hutchinson<br>d) Humboldt";"Simon";"week02"
"The emergent principle can be stated as<br><br>a) Whole = sum of parts<br>b) Whole < sum of parts<br>c) Whole > sum of parts<br>d) None of these";"Whole > sum of parts";"week02"
"""the diversity that exists within an ecosystem"" is<br><br>a) alpha (α) biodiversity<br>b) beta (β) biodiversity<br>c) gamma (γ) biodiversity<br>d) delta (δ) biodiversity";"alpha (α) biodiversity";"week02"
"The mitochondrion is a / an<br><br>a) Sub-cellular organelle<br>b) Cell<br>c) Tissue<br>d) Organ";"Sub-cellular organelle";"week02"
